,audio_path,transcript,sentence,normalized_sentence,items
0,items_ordering_audios/2024_07_10 09_36_42 qf6Juw.wav,Thank you.,"I want to order a hot dog served with a fresh side of crisp, garden-fresh salad on the side.","I want to order a hot dog served with a fresh side of crisp, garden-fresh salad on the side.","{""items"": [{""name"": ""hot dog"", ""modifier"": ""served with a fresh side""}, {""name"": ""garden-fresh salad"", ""modifier"": ""on the side""}], ""review"": ""I want to order a hot dog served with a fresh side of crisp, garden-fresh salad on the side.""}"
1,items_ordering_audios/2024_07_10 09_54_43 qJIE1Q.wav,I would love to order delicious fast-frami sandwich on whole wheat bread please.,"I would love to order a delicious pastrami sandwich on whole wheat bread, please.","I would love to order a delicious pastrami sandwich on whole wheat bread, please.","{""items"": [{""name"": ""pastrami sandwich"", ""modifier"": ""on whole wheat bread""}], ""review"": ""I would love to order a delicious pastrami sandwich on whole wheat bread, please.""}"
2,items_ordering_audios/2024_07_10 09_55_14 eqmz2w.wav,"Langaub, I order a house salad with Italian dressing and also one grilled chicken on top. Thank you.","May I order a house salad with Italian dressing, and also one with grilled chicken on top? Thank you.","May I order a house salad with Italian dressing, and also one with grilled chicken on top? Thank you.","{""items"": [{""name"": ""house salad"", ""modifier"": ""Italian dressing""}, {""name"": ""grilled chicken"", ""modifier"": """"}], ""review"": ""May I order a house salad with Italian dressing, and also one with grilled chicken on top? Thank you.""}"
3,items_ordering_audios/2024_07_10 09_55_57 x5sltA.wav,I would like to order a Hawaiian pizza with Parmesan and Begus and another one with alapeno baguble.,"""I would like to order a Hawaiian Pizza with Parmesan Bagel and another one with Jalapeño Bagel, please.""","""I would like to order a Hawaiian Pizza with Parmesan Bagel and another one with Jalapeño Bagel, please.""","{""items"": [{""name"": ""Hawaiian Pizza"", ""modifier"": """"}, {""name"": ""Parmesan Bagel"", ""modifier"": """"}, {""name"": ""Jalape\u00f1o Bagel"", ""modifier"": """"}], ""review"": ""\""I would like to order a Hawaiian Pizza with Parmesan Bagel and another one with Jalape\u00f1o Bagel, please.\""""}"
4,items_ordering_audios/2024_07_10 09_56_26 nGd0tQ.wav,"I would appreciate a plate of spicy hotate, reggie. Please. And could you add some freshly grated wasabi on top? Thank you.","I would appreciate a plate of spicy hotate nigiri, please, and could you add some freshly grated wasabi on top? Thank you.","I would appreciate a plate of spicy hotate nigiri, please, and could you add some freshly grated wasabi on top? Thank you.","{""items"": [{""name"": ""spicy hotate nigiri"", ""modifier"": """"}, {""name"": ""freshly grated wasabi"", ""modifier"": """"}], ""review"": ""I would appreciate a plate of spicy hotate nigiri, please, and could you add some freshly grated wasabi on top? Thank you.""}"
5,items_ordering_audios/2024_07_10 09_56_58 qyJcXA.wav,"I would love to order six pack of DJ's Oasis Amber Beer, please. Could you also bring it with Nano Modifier? Thank you.","I would love to order a six-pack of BJ's Oasis Amber beer, please. Could you also bring it with the nano modifier? Thank you!","I would love to order a six-pack of BJ's Oasis Amber beer, please. Could you also bring it with the nano modifier? Thank you!","{""items"": [{""name"": ""BJ's Oasis Amber"", ""modifier"": ""six-pack""}, {""name"": ""beer"", ""modifier"": ""nano modifier""}], ""review"": ""I would love to order a six-pack of BJ's Oasis Amber beer, please. Could you also bring it with the nano modifier? Thank you!""}"
6,items_ordering_audios/2024_07_10 09_57_15 Naif3w.wav,Can I order a mini breakfast with white roast on the side?,Can I order a mini breakfast with white toast on the side?,Can I order a mini breakfast with white toast on the side?,"{""items"": [{""name"": ""mini breakfast"", ""modifier"": """"}, {""name"": ""white toast"", ""modifier"": ""on the side""}], ""review"": ""Can I order a mini breakfast with white toast on the side?""}"
7,items_ordering_audios/2024_07_10 12_19_17 FSCp3w.wav,"Can you bring me plan Tiretri please? Anwar the November special, Karehda, I have it with Willie Trowl. Thank you.","Can you bring me a plain tri-tip, please? And for the November Special, could I have it with wheat rolls? Thank you!","Can you bring me a plain tri-tip, please? And for the November Special, could I have it with wheat rolls? Thank you!","{""items"": [{""name"": ""plain tri-tip"", ""modifier"": """"}, {""name"": ""November Special"", ""modifier"": ""with wheat rolls""}], ""review"": ""Can you bring me a plain tri-tip, please? And for the November Special, could I have it with wheat rolls? Thank you!""}"
8,items_ordering_audios/2024_07_10 12_30_58 dI6wrQ.wav,And it's going to be known for us. But I was a word to you.,"May I please have the super nachos topped with carne asada, and could you also add a side of sour cream and guacamole? Thank you.","May I please have the super nachos topped with carne asada, and could you also add a side of sour cream and guacamole? Thank you.","{""items"": [{""name"": ""super nachos"", ""modifier"": ""topped with carne asada""}, {""name"": ""sour cream"", ""modifier"": """"}, {""name"": ""guacamole"", ""modifier"": """"}], ""review"": ""May I please have the super nachos topped with carne asada, and could you also add a side of sour cream and guacamole? Thank you.""}"
9,items_ordering_audios/2024_07_10 12_35_26 R21mqg.wav,Just for the testing purposes of pen testing. Nothing else.,"""I will have a Hawaiian Pizza on an Everything Bagel and also, could I get another one with a Pickled Cornichon Bagel?""","""I will have a Hawaiian Pizza on an Everything Bagel and also, could I get another one with a Pickled Cornichon Bagel?""","{""items"": [{""name"": ""Hawaiian Pizza"", ""modifier"": """"}, {""name"": ""Everything Bagel"", ""modifier"": """"}, {""name"": ""Pickled Cornichon Bagel"", ""modifier"": """"}], ""review"": ""\""I will have a Hawaiian Pizza on an Everything Bagel and also, could I get another one with a Pickled Cornichon Bagel?\""""}"
