,audio_path,transcript,sentence,items_json
0,2024_07_23 14_57_07 8ykxIQ.wav,May I get the California fries without any additional modifiers? Thank you.,May I get the California Fries without any additional modifiers? Thank you!,"{""items"": [{""name"": ""California Fries"", ""modifier"": """"}], ""review"": ""May I get the California Fries without any additional modifiers? Thank you!""}"
1,2024_07_23 15_00_39 JP3Oaw.wav,Please have a classic ham and eggs breakfast served alongside an azuretic fruit plate.,May I please have a classic ham and eggs breakfast served alongside an assorted fruit plate?,"{""items"": [{""name"": ""classic ham"", ""modifier"": ""and eggs""}, {""name"": ""breakfast"", ""modifier"": """"}, {""name"": ""assorted fruit plate"", ""modifier"": """"}], ""review"": ""May I please have a classic ham and eggs breakfast served alongside an assorted fruit plate?""}"
2,2024_07_23 15_04_18 DkLyxw.wav,May I please have a cheeseburger with extra mayo on the side?,May I please have a cheeseburger with extra mayo on the side?,"{""items"": [{""name"": ""cheeseburger"", ""modifier"": ""extra mayo""}], ""review"": ""May I please have a cheeseburger with extra mayo on the side?""}"
3,2024_07_23 15_06_03 LCfsMg.wav,May I please have a regular burrito filled with succulent carnitas?,May I please have a regular burrito filled with succulent carnitas?,"{""items"": [{""name"": ""regular burrito"", ""modifier"": ""filled with succulent carnitas""}], ""review"": ""May I please have a regular burrito filled with succulent carnitas?""}"
4,2024_07_23 15_10_55 vGxqLA.wav,Could you please serve me a turkey sandwich with cottage cheese on it?,Could you please serve me a turkey sandwich with cottage cheese on it?,"{""items"": [{""name"": ""turkey sandwich"", ""modifier"": ""cottage cheese""}], ""review"": ""Could you please serve me a turkey sandwich with cottage cheese on it?""}"
5,2024_07_24 00_55_23 1qE6Dw.wav,Can I have Pastor Rami sandwich without any meal?,Could I have a pastrami sandwich without any mayo?,"{""items"": [{""name"": ""pastrami sandwich"", ""modifier"": ""without any mayo""}], ""review"": ""Could I have a pastrami sandwich without any mayo?""}"
6,2024_07_24 00_56_15 mgGXdQ.wav,"I would like some rachetta topped with delightful combination of creamy hummus, ripe tomato and fresh avocado slices.","I would like some bruschetta topped with a delightful combination of creamy hummus, ripe tomatoes, and fresh avocado slices.","{""items"": [{""name"": ""bruschetta"", ""modifier"": """"}, {""name"": ""creamy hummus"", ""modifier"": """"}, {""name"": ""ripe tomatoes"", ""modifier"": """"}, {""name"": ""fresh avocado slices"", ""modifier"": """"}], ""review"": ""I would like some bruschetta topped with a delightful combination of creamy hummus, ripe tomatoes, and fresh avocado slices.""}"
7,2024_07_24 00_56_43 helCvw.wav,I would like I would love to order a veggie skillet with country potatoes please,"""I would love to order a Veggie Skillet with Country Potatoes, please.""","{""items"": [{""name"": ""Veggie Skillet"", ""modifier"": """"}, {""name"": ""Country Potatoes"", ""modifier"": """"}], ""review"": ""\""I would love to order a Veggie Skillet with Country Potatoes, please.\""""}"
8,2024_07_24 06_20_49 Ug68rw.wav,I would appreciate a Denver omelette on sardo toast and also one on whole wheat toast. Thank you.,"I would appreciate a Denver Omelet on sourdough toast, and also one on whole-wheat toast. Thank you!","{""items"": [{""name"": ""Denver Omelet"", ""modifier"": ""on sourdough toast""}, {""name"": ""Denver Omelet"", ""modifier"": ""on whole-wheat toast""}], ""review"": ""I would appreciate a Denver Omelet on sourdough toast, and also one on whole-wheat toast. Thank you!""}"
9,2024_07_24 06_21_38 z-hMPw.wav,"I would love to order a Nashville hot tender box with the modifiers of preffle fries and slaw, as well as plastic cop salad, breast, and balsamic winniagret. Thank you.","I would love to order a Nashville Hot Tender Box with the modifiers of truffle fries and slaw, as well as a Classic Cobb salad dressed in balsamic vinaigrette. Thank you!","{""items"": [{""name"": ""Nashville Hot Tender Box"", ""modifier"": """"}, {""name"": ""truffle fries"", ""modifier"": """"}, {""name"": ""slaw"", ""modifier"": """"}, {""name"": ""Classic Cobb salad"", ""modifier"": ""dressed in balsamic vinaigrette""}], ""review"": ""I would love to order a Nashville Hot Tender Box with the modifiers of truffle fries and slaw, as well as a Classic Cobb salad dressed in balsamic vinaigrette. Thank you!""}"
