,audio_path,transcript,sentence,items_json
0,2024_07_30 01_58_10 GLjSQg.wav,May I get a California Benedict with an addition of cottage cheese and please make sure there are no hash browns included.,"May I get a California Benedict with an addition of cottage cheese, and please make sure there are no hash browns included.","{""items"": [{""name"": ""California Benedict"", ""modifier"": """"}, {""name"": ""cottage cheese"", ""modifier"": """"}], ""review"": ""May I get a California Benedict with an addition of cottage cheese, and please make sure there are no hash browns included.""}"
1,2024_07_30 01_58_27 O0yCKA.wav,"Can you bring me a grilled chicken sandwich served with crispy onion rings, please?","Can you bring me a grilled chicken sandwich served with crispy onion rings, please?","{""items"": [{""name"": ""grilled chicken sandwich"", ""modifier"": """"}, {""name"": ""crispy onion rings"", ""modifier"": """"}], ""review"": ""Can you bring me a grilled chicken sandwich served with crispy onion rings, please?""}"
2,2024_07_30 01_58_50 3GKZDA.wav,Could I get a veggie omelette on the side of a multigrain toast and also a cheese omelette with a serving of crispy hash browns,"Could I get a veggie omelette on the side of multigrain toast, and also a cheese omelette with a serving of crispy hash browns?","{""items"": [{""name"": ""veggie omelette"", ""modifier"": """"}, {""name"": ""multigrain toast"", ""modifier"": """"}, {""name"": ""cheese omelette"", ""modifier"": """"}, {""name"": ""crispy hash browns"", ""modifier"": ""serving of""}], ""review"": ""Could I get a veggie omelette on the side of multigrain toast, and also a cheese omelette with a serving of crispy hash browns?""}"
3,2024_07_30 01_59_08 ZmjQVw.wav,"May I order a veggie omelette on wheat bread, and also could you please add an apple to my meal?","""May I order a veggie omelette on wheat bread and also, could you please add an apple to my meal?""","{""items"": [{""name"": ""veggie omelette"", ""modifier"": ""on wheat bread""}, {""name"": ""apple"", ""modifier"": """"}], ""review"": ""\""May I order a veggie omelette on wheat bread and also, could you please add an apple to my meal?\""""}"
4,2024_07_30 01_59_33 D6PiCg.wav,May I please have a plate of boneless wings half coated in ranch and the other half served plain. Thank you.,"May I please have a plate of boneless wings, half coated in ranch and the other half served plain? Thank you.","{""items"": [{""name"": ""boneless wings"", ""modifier"": ""half coated in ranch""}], ""review"": ""May I please have a plate of boneless wings, half coated in ranch and the other half served plain? Thank you.""}"
5,2024_07_30 02_00_29 RU4jew.wav,I want to order a salami on a wheat roll and for dessert I would like the New York cheesecake to go with a fork.,"I want to order a salami on a wheat roll and for dessert, I would like the New York Cheesecake to go with a fork.","{""items"": [{""name"": ""salami"", ""modifier"": ""on a wheat roll""}, {""name"": ""New York Cheesecake"", ""modifier"": ""to go with a fork""}], ""review"": ""I want to order a salami on a wheat roll and for dessert, I would like the New York Cheesecake to go with a fork.""}"
6,2024_07_30 02_00_52 Mr-7kg.wav,"Do you have a turkey sandwich on a soft sweet roll and another one with American cheese? I would like to order both of those, please.","Do you have a Turkey sandwich on a soft, sweet roll and another one with American cheese? I would like to order both of those, please.","{""items"": [{""name"": ""Turkey sandwich"", ""modifier"": ""soft, sweet roll""}, {""name"": ""American cheese"", ""modifier"": """"}], ""review"": ""Do you have a Turkey sandwich on a soft, sweet roll and another one with American cheese? I would like to order both of those, please.""}"
7,2024_07_30 02_01_18 H-YjMA.wav,"May I please have the Camerons, Al Mojo Di Ajo, served with both black and whole beans. Thank you.",May I please have the Camarones al Mojo de Ajo served with both black and whole beans? Thank you.,"{""items"": [{""name"": ""Camarones al Mojo de Ajo"", ""modifier"": """"}, {""name"": ""beans"", ""modifier"": ""whole""}], ""review"": ""May I please have the Camarones al Mojo de Ajo served with both black and whole beans? Thank you.""}"
8,2024_07_30 02_01_44 Vzukvg.wav,"I would like to order a classic hamburger, but instead of a usual bun, I would love it served on a warm flaky biscuit with some savoury gravy on top. Thank you.","I would like to order a classic hamburger, but instead of the usual bun, I would love it served on a warm, flaky biscuit with some savory gravy on top. Thank you!","{""items"": [{""name"": ""classic hamburger"", ""modifier"": """"}, {""name"": ""biscuit"", ""modifier"": ""warm, flaky""}, {""name"": ""gravy"", ""modifier"": ""savory""}], ""review"": ""I would like to order a classic hamburger, but instead of the usual bun, I would love it served on a warm, flaky biscuit with some savory gravy on top. Thank you!""}"
9,2024_07_30 02_03_07 wXuZ5Q.wav,I will take the classic tender box but I would like it to be prepared as a four piece serving. Could you also ensure that they are cooked perfectly golden and crispy? Thank you.,"I will take the Classic Tender Box, but I would like it to be prepared as a 4-piece serving. Could you also ensure that they are cooked perfectly golden and crispy? Thank you!","{""items"": [{""name"": ""Classic Tender Box"", ""modifier"": ""4-piece serving""}], ""review"": ""I will take the Classic Tender Box, but I would like it to be prepared as a 4-piece serving. Could you also ensure that they are cooked perfectly golden and crispy? Thank you!""}"
