,audio_path,transcript,sentence,normalized_sentence,items
0,items_ordering_audios/2024_07_15 16_13_15 8BixZQ.wav,I will have a classic pattern melt and could you please add some crispy potato chips on the side.,"""I will have a classic Patty Melt, and could you please add some crispy potato chips on the side?""","""I will have a classic Patty Melt, and could you please add some crispy potato chips on the side?""","{""items"": [{""name"": ""Patty Melt"", ""modifier"": """"}, {""name"": ""crispy potato chips"", ""modifier"": ""on the side""}], ""review"": ""\""I will have a classic Patty Melt, and could you please add some crispy potato chips on the side?\""""}"
1,items_ordering_audios/2024_07_15 16_13_45 QxbXGg.wav,Can you bring me a mixed grilled seasoned with Thai spices and accompanied by bristle sprouts on the side?,Can you bring me a mixed grill seasoned with Thai spices and accompanied by Brussels sprouts on the side?,Can you bring me a mixed grill seasoned with Thai spices and accompanied by Brussels sprouts on the side?,"{""items"": [{""name"": ""mixed grill"", ""modifier"": ""seasoned with Thai spices""}, {""name"": ""Brussels sprouts"", ""modifier"": """"}], ""review"": ""Can you bring me a mixed grill seasoned with Thai spices and accompanied by Brussels sprouts on the side?""}"
2,items_ordering_audios/2024_07_15 16_14_20 jTa-Mw.wav,Please give me a sudden scrambled served with french fries and also add a veggie skillet on the side with push at heart.,"Please give me a Southern Scramble served with French Fries, and also add a Veggie Skillet on the side with Pouched Hard.","Please give me a Southern Scramble served with French Fries, and also add a Veggie Skillet on the side with Pouched Hard.","{""items"": [{""name"": ""Southern Scramble"", ""modifier"": """"}, {""name"": ""French Fries"", ""modifier"": """"}, {""name"": ""Veggie Skillet"", ""modifier"": ""on the side""}, {""name"": ""Pouched Hard"", ""modifier"": """"}], ""review"": ""Please give me a Southern Scramble served with French Fries, and also add a Veggie Skillet on the side with Pouched Hard.""}"
3,items_ordering_audios/2024_07_15 16_15_31 ZsEMDQ.wav,"Can I order a plate of ham and egg served on the English muffin, as well as another one with the same dish, but accompanied by corn potillas.","Can I order a plate of ham and eggs served on an English muffin, as well as another one with the same dish but accompanied by corn tortillas?","Can I order a plate of ham and eggs served on an English muffin, as well as another one with the same dish but accompanied by corn tortillas?","{""items"": [{""name"": ""ham and eggs"", ""modifier"": ""served on an English muffin""}, {""name"": ""ham and eggs"", ""modifier"": ""accompanied by corn tortillas""}], ""review"": ""Can I order a plate of ham and eggs served on an English muffin, as well as another one with the same dish but accompanied by corn tortillas?""}"
4,items_ordering_audios/2024_07_15 16_15_57 eCYMig.wav,Could I have a plate of ham and eggs on a right host please? And also could you add some perfectly poach egg as well?,"""Could I have a plate of ham and eggs on rye toast, please? And also, could you add some perfectly poached eggs as well?""","""Could I have a plate of ham and eggs on rye toast, please? And also, could you add some perfectly poached eggs as well?""","{""items"": [{""name"": ""ham and eggs"", ""modifier"": """"}, {""name"": ""rye toast"", ""modifier"": """"}, {""name"": ""perfectly poached eggs"", ""modifier"": """"}], ""review"": ""\""Could I have a plate of ham and eggs on rye toast, please? And also, could you add some perfectly poached eggs as well?\""""}"
5,items_ordering_audios/2024_07_15 16_16_44 cHCLkg.wav,Could I get a Californian burger on a wheat roll and also some plain thoughts as a side?,"Could I get a California burger on a wheat roll, and also some plain tots as a side?","Could I get a California burger on a wheat roll, and also some plain tots as a side?","{""items"": [{""name"": ""California burger"", ""modifier"": ""wheat roll""}, {""name"": ""plain tots"", ""modifier"": """"}], ""review"": ""Could I get a California burger on a wheat roll, and also some plain tots as a side?""}"
6,items_ordering_audios/2024_07_15 16_16_57 zkfB0A.wav,"Can you bring me a hamburger with all the standard toppings, please?","Can you bring me a hamburger with all the standard toppings, please?","Can you bring me a hamburger with all the standard toppings, please?","{""items"": [{""name"": ""hamburger"", ""modifier"": ""with all the standard toppings""}], ""review"": ""Can you bring me a hamburger with all the standard toppings, please?""}"
7,items_ordering_audios/2024_07_15 16_17_54 H4kHuA.wav,"Our light order of plate of ham and egg served on a lightly buttered biscuit with gravy, as well as another serving of ham and egg wrapped in a warm flour tortilla. Thank you.","I would like to order a plate of ham and eggs served on lightly buttered biscuits with gravy, as well as another serving of ham and eggs wrapped in warm flour tortillas. Thank you!","I would like to order a plate of ham and eggs served on lightly buttered biscuits with gravy, as well as another serving of ham and eggs wrapped in warm flour tortillas. Thank you!","{""items"": [{""name"": ""ham and eggs"", ""modifier"": ""served on lightly buttered biscuits with gravy""}, {""name"": ""ham and eggs"", ""modifier"": ""wrapped in warm flour tortillas""}], ""review"": ""I would like to order a plate of ham and eggs served on lightly buttered biscuits with gravy, as well as another serving of ham and eggs wrapped in warm flour tortillas. Thank you!""}"
8,items_ordering_audios/2024_07_15 16_18_17 ykp0jQ.wav,"I would like some ham and eggs, served with a side, crispy golden brown potatoes, please.","I would like some ham and eggs served with a side of crispy, golden-brown potatoes, please.","I would like some ham and eggs served with a side of crispy, golden-brown potatoes, please.","{""items"": [{""name"": ""ham"", ""modifier"": """"}, {""name"": ""eggs"", ""modifier"": """"}, {""name"": ""potatoes"", ""modifier"": ""crispy, golden-brown""}], ""review"": ""I would like some ham and eggs served with a side of crispy, golden-brown potatoes, please.""}"
9,items_ordering_audios/2024_07_15 16_20_01 gKp0GQ.wav,Do you have the ham and eggs dish? But could I please get it made with just egg whites? And also can I add the side of your delicious banana bread to my order? Thank you.,"Do you have the Ham & Eggs dish, but could I please get it made with just egg whites? And also, can I add a side of your delicious banana bread to my order? Thank you!","Do you have the Ham & Eggs dish, but could I please get it made with just egg whites? And also, can I add a side of your delicious banana bread to my order? Thank you!","{""items"": [{""name"": ""Ham & Eggs"", ""modifier"": ""egg whites""}, {""name"": ""banana bread"", ""modifier"": """"}], ""review"": ""Do you have the Ham & Eggs dish, but could I please get it made with just egg whites? And also, can I add a side of your delicious banana bread to my order? Thank you!""}"
