,audio_path,transcript,sentence,normalized_sentence,items
0,items_ordering_audios/2024_07_12 20_02_04 3lwy_A.wav,I would love to start off with a small bowl of clam counter and for my main course I would like an order of bonus wings prepared naked.,"""I would love to start off with a small bowl of clam chowder, and for my main course, I would like an order of boneless wings prepared naked.""","""I would love to start off with a small bowl of clam chowder, and for my main course, I would like an order of boneless wings prepared naked.""","{""items"": [{""name"": ""clam chowder"", ""modifier"": ""small bowl""}, {""name"": ""boneless wings"", ""modifier"": ""naked""}], ""review"": ""\""I would love to start off with a small bowl of clam chowder, and for my main course, I would like an order of boneless wings prepared naked.\""""}"
1,items_ordering_audios/2024_07_12 20_02_30 E0yTQw.wav,"Can you bring me a plate of fresh escolar sashimi and also prepare some crispy California rolls for me, please?","Can you bring me a plate of fresh escolar sashimi and also prepare some crispy California rolls for me, please?","Can you bring me a plate of fresh escolar sashimi and also prepare some crispy California rolls for me, please?","{""items"": [{""name"": ""fresh escolar sashimi"", ""modifier"": """"}, {""name"": ""crispy California rolls"", ""modifier"": """"}], ""review"": ""Can you bring me a plate of fresh escolar sashimi and also prepare some crispy California rolls for me, please?""}"
2,items_ordering_audios/2024_07_12 20_02_57 6-1sMQ.wav,"Could you please serve me a club sandwich, house sandwich, along with some crispy french fries on the side? Thank you.",Could you please serve me a Club House Sandwich along with some crispy French Fries on the side? Thank you!,Could you please serve me a Club House Sandwich along with some crispy French Fries on the side? Thank you!,"{""items"": [{""name"": ""Club House Sandwich"", ""modifier"": """"}, {""name"": ""crispy French Fries"", ""modifier"": """"}], ""review"": ""Could you please serve me a Club House Sandwich along with some crispy French Fries on the side? Thank you!""}"
3,items_ordering_audios/2024_07_12 20_03_36 OIiXww.wav,Wow.,"Can you bring me a Patty Melt with a side of Creamy Mocha Cold Brew, and also another one but with the Gardenburger patty instead?","Can you bring me a Patty Melt with a side of Creamy Mocha Cold Brew, and also another one but with the Gardenburger patty instead?","{""items"": [{""name"": ""Patty Melt"", ""modifier"": """"}, {""name"": ""Creamy Mocha Cold Brew"", ""modifier"": """"}, {""name"": ""Gardenburger patty"", ""modifier"": ""another one""}], ""review"": ""Can you bring me a Patty Melt with a side of Creamy Mocha Cold Brew, and also another one but with the Gardenburger patty instead?""}"
4,items_ordering_audios/2024_07_12 20_03_40 Hvxbhw.wav,Hey!,"I would like to order a Reuben sandwich served with a side of creamy mocha cold brew, and also could I get a cup of the soup of the day? Thank you.","I would like to order a Reuben sandwich served with a side of creamy mocha cold brew, and also could I get a cup of the soup of the day? Thank you.","{""items"": [{""name"": ""Reuben sandwich"", ""modifier"": """"}, {""name"": ""creamy mocha cold brew"", ""modifier"": ""side""}, {""name"": ""soup of the day"", ""modifier"": ""cup""}], ""review"": ""I would like to order a Reuben sandwich served with a side of creamy mocha cold brew, and also could I get a cup of the soup of the day? Thank you.""}"
5,items_ordering_audios/2024_07_13 20_03_25 nL1rCg.wav,"I would like to order a delicious hamburger and for my side dish, could I please have the delightful blueberry pancakes? Thank you!","I would like to order a delicious hamburger, and for my side dish, could I please have the delightful blueberry pancakes? Thank you.","I would like to order a delicious hamburger, and for my side dish, could I please have the delightful blueberry pancakes? Thank you.","{""items"": [{""name"": ""hamburger"", ""modifier"": """"}, {""name"": ""blueberry pancakes"", ""modifier"": """"}], ""review"": ""I would like to order a delicious hamburger, and for my side dish, could I please have the delightful blueberry pancakes? Thank you.""}"
6,items_ordering_audios/2024_07_13 20_05_18 LnkJ7g.wav,"May I get a chicken salad? Caesar salad, please. Could I also include it for takeout and add an extra napkin on the side? Thank you.","May I get a Chicken Caesar Salad, please? Could you also include it for takeout and add an extra napkin on the side? Thank you.","May I get a Chicken Caesar Salad, please? Could you also include it for takeout and add an extra napkin on the side? Thank you.","{""items"": [{""name"": ""Chicken Caesar Salad"", ""modifier"": ""for takeout""}, {""name"": """", ""modifier"": ""extra napkin on the side""}], ""review"": ""May I get a Chicken Caesar Salad, please? Could you also include it for takeout and add an extra napkin on the side? Thank you.""}"
7,items_ordering_audios/2024_07_13 20_39_29 1SBf5g.wav,Could I please have a plate of ham and eggs served with fresh fruit on the side as well as another one whole grain wheat bread? Thank you.,"Could I please have a plate of ham and eggs served with fresh fruit on the side, as well as another one on whole grain wheat bread? Thank you.","Could I please have a plate of ham and eggs served with fresh fruit on the side, as well as another one on whole grain wheat bread? Thank you.","{""items"": [{""name"": ""ham and eggs"", ""modifier"": """"}, {""name"": ""fresh fruit"", ""modifier"": ""on the side""}, {""name"": ""whole grain wheat bread"", ""modifier"": ""another one on""}], ""review"": ""Could I please have a plate of ham and eggs served with fresh fruit on the side, as well as another one on whole grain wheat bread? Thank you.""}"
8,items_ordering_audios/2024_07_13 20_40_43 bZTPKg.wav,"May I order a classic tender box with three classic chicken tenders, please.","May I order a Classic Tender Box with three classic chicken tenders, please?","May I order a Classic Tender Box with three classic chicken tenders, please?","{""items"": [{""name"": ""Classic Tender Box"", ""modifier"": """"}, {""name"": ""classic chicken tenders"", ""modifier"": ""three""}], ""review"": ""May I order a Classic Tender Box with three classic chicken tenders, please?""}"
9,items_ordering_audios/2024_07_13 20_40_59 Fv9ifQ.wav,"Can you bring me a plate of chips served with our house made guacamole and salsa, please?","Can you bring me a plate of chips served with our house-made guacamole and salsa, please?","Can you bring me a plate of chips served with our house-made guacamole and salsa, please?","{""items"": [{""name"": ""chips"", ""modifier"": ""served with our house-made guacamole and salsa""}], ""review"": ""Can you bring me a plate of chips served with our house-made guacamole and salsa, please?""}"
10,items_ordering_audios/2024_07_13 20_41_32 UMV1ew.wav,"Please give me a plate of ham and egg, but make sure they are boiled. Also, I would like a Denver omelette with no tomatoes, please.","Please give me a plate of ham and eggs, but make sure they're boiled. Also, I would like a Denver omelet with no tomatoes, please.","Please give me a plate of ham and eggs, but make sure they're boiled. Also, I would like a Denver omelet with no tomatoes, please.","{""items"": [{""name"": ""ham"", ""modifier"": ""boiled""}, {""name"": ""eggs"", ""modifier"": ""boiled""}, {""name"": ""Denver omelet"", ""modifier"": ""no tomatoes""}], ""review"": ""Please give me a plate of ham and eggs, but make sure they're boiled. Also, I would like a Denver omelet with no tomatoes, please.""}"
11,items_ordering_audios/2024_07_13 20_41_54 RLa9yw.wav,"I would love to order a cheeseburger, but could you please add some red onions and hold the mustard? Thank you.","I would love to order a cheeseburger, but could you please add some red onions and hold the mustard? Thank you!","I would love to order a cheeseburger, but could you please add some red onions and hold the mustard? Thank you!","{""items"": [{""name"": ""cheeseburger"", ""modifier"": """"}, {""name"": ""red onions"", ""modifier"": """"}], ""review"": ""I would love to order a cheeseburger, but could you please add some red onions and hold the mustard? Thank you!""}"
12,items_ordering_audios/2024_07_13 20_43_07 Bzu2_Q.wav,Can you bring me a medium combo special with garlic ranch sauce and also add on a cheeseburger top it with pepper yak cheese?,"Can you bring me a medium Combo Special with garlic-ranch sauce, and also add on a cheeseburger topped with pepperjack cheese?","Can you bring me a medium Combo Special with garlic-ranch sauce, and also add on a cheeseburger topped with pepperjack cheese?","{""items"": [{""name"": ""medium Combo Special"", ""modifier"": ""garlic-ranch sauce""}, {""name"": ""cheeseburger"", ""modifier"": ""pepperjack cheese""}], ""review"": ""Can you bring me a medium Combo Special with garlic-ranch sauce, and also add on a cheeseburger topped with pepperjack cheese?""}"
13,items_ordering_audios/2024_07_13 20_43_38 hOrdPw.wav,"May I get a small, Hawaii, pizza, please?","May I get a small Hawaiian Pizza, please?","May I get a small Hawaiian Pizza, please?","{""items"": [{""name"": ""Hawaiian Pizza"", ""modifier"": ""small""}], ""review"": ""May I get a small Hawaiian Pizza, please?""}"
14,items_ordering_audios/2024_07_13 20_44_12 KDXwiA.wav,Please give me a slice of gluten-free fastrami on rye bread if available.,"Please give me a slice of gluten-free pastrami on rye bread, if available.","Please give me a slice of gluten-free pastrami on rye bread, if available.","{""items"": [{""name"": ""gluten-free pastrami"", ""modifier"": """"}, {""name"": ""rye bread"", ""modifier"": ""slice of""}], ""review"": ""Please give me a slice of gluten-free pastrami on rye bread, if available.""}"
15,items_ordering_audios/2024_07_13 20_44_53 vahuVA.wav,"Can I get the cheeseburger served with side of salad topped with blue cheese, please?","Could I get a cheeseburger served with a side of salad topped with blue cheese, please?","Could I get a cheeseburger served with a side of salad topped with blue cheese, please?","{""items"": [{""name"": ""cheeseburger"", ""modifier"": """"}, {""name"": ""salad"", ""modifier"": ""topped with blue cheese""}], ""review"": ""Could I get a cheeseburger served with a side of salad topped with blue cheese, please?""}"
16,items_ordering_audios/2024_07_13 20_45_47 fi_RRw.wav,Do you have an option of a ham and eggs dish served with healthy veggies or perhaps one that is scrambled eggs with cheese? I would love to try both is possible.,"Do you have the option of a ham and eggs dish served with healthy veggies, or perhaps one that's a scrambled egg with cheese? I would love to try both if possible.","Do you have the option of a ham and eggs dish served with healthy veggies, or perhaps one that's a scrambled egg with cheese? I would love to try both if possible.","{""items"": [{""name"": ""ham and eggs"", ""modifier"": ""served with healthy veggies""}, {""name"": ""scrambled egg with cheese"", ""modifier"": """"}], ""review"": ""Do you have the option of a ham and eggs dish served with healthy veggies, or perhaps one that's a scrambled egg with cheese? I would love to try both if possible.""}"
17,items_ordering_audios/2024_07_13 20_46_16 iA-IBg.wav,"May I please have a pastrami sandwich on a sesame bagel and another one with Dutch crunch bread both served warm, thank you.","May I please have a pastrami sandwich on a sesame bagel and another one with a Dutch crunch bread, both served warm? Thank you.","May I please have a pastrami sandwich on a sesame bagel and another one with a Dutch crunch bread, both served warm? Thank you.","{""items"": [{""name"": ""pastrami sandwich"", ""modifier"": ""on a sesame bagel""}, {""name"": ""pastrami sandwich"", ""modifier"": ""Dutch crunch bread""}], ""review"": ""May I please have a pastrami sandwich on a sesame bagel and another one with a Dutch crunch bread, both served warm? Thank you.""}"
18,items_ordering_audios/2024_07_14 03_58_27 QWaliA.wav,"I want to order a pepperoni extreme flatbed, please. Could you make sure it's extreme cheesy and add some fresh basil on the top? Thank you.","I want to order a Pepperoni Extreme Flatbread, please. Could you make sure it's extra cheesy and add some fresh basil on top? Thank you!","I want to order a Pepperoni Extreme Flatbread, please. Could you make sure it's extra cheesy and add some fresh basil on top? Thank you!","{""items"": [{""name"": ""Pepperoni Extreme Flatbread"", ""modifier"": ""extra cheesy""}], ""review"": ""I want to order a Pepperoni Extreme Flatbread, please. Could you make sure it's extra cheesy and add some fresh basil on top? Thank you!""}"
19,items_ordering_audios/2024_07_14 04_00_04 XO979w.wav,"I will take a chicken Caesar salad without the bread and I would like to pair it with a large 20 ounce Dr. Pepper, thank you.","I will take a Chicken Caesar Salad without the bread, and I would like to pair it with a large 20-ounce Dr Pepper. Thank you!","I will take a Chicken Caesar Salad without the bread, and I would like to pair it with a large 20-ounce Dr Pepper. Thank you!","{""items"": [{""name"": ""Chicken Caesar Salad"", ""modifier"": ""without the bread""}, {""name"": ""Dr Pepper"", ""modifier"": ""large 20-ounce""}], ""review"": ""I will take a Chicken Caesar Salad without the bread, and I would like to pair it with a large 20-ounce Dr Pepper. Thank you!""}"
20,items_ordering_audios/2024_07_14 04_20_55 boQmuQ.wav,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,"{""items"": [{""name"": ""turkey sandwich"", ""modifier"": ""cucumber""}, {""name"": ""potato salad"", ""modifier"": """"}], ""review"": ""I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.""}"
21,items_ordering_audios/2024_07_14 04_21_43 oUVAag.wav,"I would like to order a large portion of chili cheese fries, please.","""I would like to order a large portion of chili cheese fries, please.""","""I would like to order a large portion of chili cheese fries, please.""","{""items"": [{""name"": ""chili cheese fries"", ""modifier"": ""large portion""}], ""review"": ""\""I would like to order a large portion of chili cheese fries, please.\""""}"
