audio_path,ground_truth,transcription,inference_time
2024_07_07 17_28_07 i-NOcQ.wav,"I would like to try three Sopes Con Arroz Y Frijoles, please. Could you add the Pastor as a modifier for me? Thank you!", I would like to try 3 Sope's Corn Aarol V3 jollies. Please could you add the pesto as a modifier for me? Thank you.,1.6446506977081299
2024_07_07 17_28_36 0gOJIA.wav,"I will take a turkey sandwich on a toasted bagel and some crispy potato chips, please.", I will take a turkey sandwich on a toasted bagel and some crispy potato chips please.,0.38567113876342773
2024_07_08 04_22_24 0TRVzw.wav,"I would like to order a Mexican Omelette served on an English Muffin, as well as another one with Rice and Beans. Thank you!", I would like to order a Mexican omelet served on an English muffin as well as another one with rice and beans. Thank you.,0.4678833484649658
2024_07_08 05_53_44 d25glQ.wav,"""I would love to start off with the Antipasto Salad, but could you please dress it lightly with some high-quality olive oil?""", I would love to start off with the antipasto salad but could you please  dress it lightly with some high-quality olive oil?,0.492262601852417
2024_07_08 05_54_44 POf5EQ.wav,"Could I get a Coca-Cola Zero in a 12 oz can and a Chef's Salad with Caesar Dressing, please?"," Could I get a Coca-Cola Zero in a 12-ounce can and a chef's salad with Caesar dressing, please?",0.43923139572143555
2024_07_08 06_22_51 4-GR1w.wav,"I would like to order a buffalo chicken sandwich served over a fresh salad, and also could I get a small portion of garlic bread with cheese on the side?", I would like to order a buffalo chicken sandwich served over a fresh salad and also could I  get a small portion of garlic bread with cheese on the side.,0.5207486152648926
2024_07_08 06_39_14 BtEdiQ.wav,Can I have a hamburger with mayonnaise on it?, Can I have a hamburger with mayonnaise on it?,0.31481099128723145
2024_07_09 08_43_05 5FS02w.wav,"Could I have a plate of Bucatini Carbonara, please? No additional modifiers needed for me today. Thank you!"," Could I have a plate of bucatini carbonara, please?  No additional modifiers needed for me today. Thank you.",0.49062418937683105
2024_07_09 09_24_15 Ud57cA.wav,Could you please serve me a turkey sandwich with cottage cheese on it?, Could you please serve me a turkey sandwich with cottage cheese on it?,0.3730506896972656
2024_07_09 09_24_47 rQPcmw.wav,"Please give me a chicken calzone served with a side of fresh, crisp green salad on the side. Thank you!", please give me chicken calzone served with a safe fresh crisp bean salad on the  side thank you,0.4863874912261963
2024_07_09 09_25_21 uiWrmg.wav,Could you please serve me a chimichanga accompanied by a side of soup? Thank you!, Could you please serve me chimichanga accompanied by a side of soup. Thank you,0.3507957458496094
2024_07_09 09_28_51 Z5wUqw.wav,"I need a Tostada with Green Chile Pork and a Mixed Grill served with Fries, Chili-Lime style.", I need a tostada with green chilli pour and mixed grill served with fries chilli lime style.,0.39663100242614746
2024_07_09 09_40_46 Gt-v1w.wav,Could you please serve me a chimichanga with ranch dressing on one side and another chimichanga topped with steak? Thank you., Could you please serve me a chimichanga with rank dressing on one side and another chimichanga top with steak. Thank you.,0.45894598960876465
