,audio_path,transcript,sentence,normalized_sentence,items
0,items_ordering_audios/2024_07_07 17_28_07 i-NOcQ.wav,"I would like to try three sopes corn arwoes, re jollies, please. Could you add the pastor as a modifier for me? Thank you.","I would like to try three Sopes Con Arroz Y Frijoles, please. Could you add the Pastor as a modifier for me? Thank you!","I would like to try three Sopes Con Arroz Y Frijoles, please. Could you add the Pastor as a modifier for me? Thank you!","{""items"": [{""name"": ""Sopes"", ""modifier"": ""Con Arroz Y Frijoles""}, {""name"": ""Pastor"", ""modifier"": """"}], ""review"": ""I would like to try three Sopes Con Arroz Y Frijoles, please. Could you add the Pastor as a modifier for me? Thank you!""}"
1,items_ordering_audios/2024_07_07 17_28_36 0gOJIA.wav,I will take a turkey sandwich on a toasted bagel and some crispy potato chips please.,"I will take a turkey sandwich on a toasted bagel and some crispy potato chips, please.","I will take a turkey sandwich on a toasted bagel and some crispy potato chips, please.","{""items"": [{""name"": ""turkey sandwich"", ""modifier"": ""on a toasted bagel""}, {""name"": ""crispy potato chips"", ""modifier"": """"}], ""review"": ""I will take a turkey sandwich on a toasted bagel and some crispy potato chips, please.""}"
2,items_ordering_audios/2024_07_07 17_28_57 aR2_xg.wav,Can you bring me a tostaster top with pinto beans please?,"Can you bring me a Tostada topped with Pinto Beans, please?","Can you bring me a Tostada topped with Pinto Beans, please?","{""items"": [{""name"": ""Tostada"", ""modifier"": ""topped with Pinto Beans""}], ""review"": ""Can you bring me a Tostada topped with Pinto Beans, please?""}"
3,items_ordering_audios/2024_07_07 17_29_30 5VDTIg.wav,Can I order a pastrami sandwich on sun dried tomato bread and another one with sliced sourdough please.,"Can I order a pastrami sandwich on sun-dried tomato bread and another one with sliced sourdough, please?","Can I order a pastrami sandwich on sun-dried tomato bread and another one with sliced sourdough, please?","{""items"": [{""name"": ""pastrami sandwich"", ""modifier"": ""sun-dried tomato bread""}, {""name"": ""pastrami sandwich"", ""modifier"": ""sliced sourdough""}], ""review"": ""Can I order a pastrami sandwich on sun-dried tomato bread and another one with sliced sourdough, please?""}"
4,items_ordering_audios/2024_07_07 17_40_59 Pjtm0g.wav,I will take a super cassedia please but instead of the using ingredients could you make it with breaded beef as used in your tortas. I think that combination sounds delicious.,"I will take a Super Quesadilla, please, but instead of the usual ingredients, could you make it with breaded beef as used in your Tortas? I think that combination sounds delicious!","I will take a Super Quesadilla, please, but instead of the usual ingredients, could you make it with breaded beef as used in your Tortas? I think that combination sounds delicious!","{""items"": [{""name"": ""Super Quesadilla"", ""modifier"": """"}, {""name"": ""breaded beef"", ""modifier"": ""as used in your Tortas""}], ""review"": ""I will take a Super Quesadilla, please, but instead of the usual ingredients, could you make it with breaded beef as used in your Tortas? I think that combination sounds delicious!""}"
5,items_ordering_audios/2024_07_07 17_47_29 3KoD3A.wav,Could you please serve me a torta mexicana with barbacoa filling? Thank you.,Could you please serve me a Torta Mexicana with Barbacoa filling? Thank you!,Could you please serve me a Torta Mexicana with Barbacoa filling? Thank you!,"{""items"": [{""name"": ""Torta Mexicana"", ""modifier"": ""Barbacoa filling""}], ""review"": ""Could you please serve me a Torta Mexicana with Barbacoa filling? Thank you!""}"
6,items_ordering_audios/2024_07_07 17_47_50 GDtXtQ.wav,To start with the whole steamed sea bass served without any additional ingredients followed by a bowl of sweet and sour catfish soup. Thank you.,"I would love to start with the whole steamed seabass, served without any additional ingredients (nan), followed by a bowl of sweet and sour catfish soup. Thank you!","I would love to start with the whole steamed seabass, served without any additional ingredients (nan), followed by a bowl of sweet and sour catfish soup. Thank you!","{""items"": [{""name"": ""whole steamed seabass"", ""modifier"": ""without any additional ingredients""}, {""name"": ""sweet and sour catfish soup"", ""modifier"": """"}], ""review"": ""I would love to start with the whole steamed seabass, served without any additional ingredients (nan), followed by a bowl of sweet and sour catfish soup. Thank you!""}"
7,items_ordering_audios/2024_07_07 17_48_15 sG_GqA.wav,I order the house special Chow Fun and also could you please add some shrimp egg fu yang to my meal.,"""May I order the House Special Chow Fun, and also could you please add some Shrimp Egg Foo Yung to my meal?""","""May I order the House Special Chow Fun, and also could you please add some Shrimp Egg Foo Yung to my meal?""","{""items"": [{""name"": ""House Special Chow Fun"", ""modifier"": """"}, {""name"": ""Shrimp Egg Foo Yung"", ""modifier"": """"}], ""review"": ""\""May I order the House Special Chow Fun, and also could you please add some Shrimp Egg Foo Yung to my meal?\""""}"
8,items_ordering_audios/2024_07_08 04_21_00 2oV_Eg.wav,"Could I have a veggie skeleton, one served on rites and another with whole wheat bread? Thank you.","Could I have a Veggie Skillet, one served on Rye Toast and another with Whole Wheat Bread? Thank you.","Could I have a Veggie Skillet, one served on Rye Toast and another with Whole Wheat Bread? Thank you.","{""items"": [{""name"": ""Veggie Skillet"", ""modifier"": """"}, {""name"": ""Rye Toast"", ""modifier"": ""served on""}, {""name"": ""Whole Wheat Bread"", ""modifier"": ""with""}], ""review"": ""Could I have a Veggie Skillet, one served on Rye Toast and another with Whole Wheat Bread? Thank you.""}"
9,items_ordering_audios/2024_07_08 04_22_02 GfYKiQ.wav,"Could you please serve me a chimichanga filled with succulent shredded beef and another one stuffed with spicy chili, LNO? Thank you.",Could you please serve me a chimichanga filled with succulent shredded beef and another one stuffed with spicy chile relleno? Thank you!,Could you please serve me a chimichanga filled with succulent shredded beef and another one stuffed with spicy chile relleno? Thank you!,"{""items"": [{""name"": ""chimichanga"", ""modifier"": ""filled with succulent shredded beef""}, {""name"": ""chimichanga"", ""modifier"": ""stuffed with spicy chile relleno""}], ""review"": ""Could you please serve me a chimichanga filled with succulent shredded beef and another one stuffed with spicy chile relleno? Thank you!""}"
10,items_ordering_audios/2024_07_08 04_22_24 0TRVzw.wav,I would like to order a Mexican omelette served on an English muffin as well as another one with rice and beans. Thank you.,"I would like to order a Mexican Omelette served on an English Muffin, as well as another one with Rice and Beans. Thank you!","I would like to order a Mexican Omelette served on an English Muffin, as well as another one with Rice and Beans. Thank you!","{""items"": [{""name"": ""Mexican Omelette"", ""modifier"": ""served on an English Muffin""}, {""name"": ""Rice and Beans"", ""modifier"": """"}], ""review"": ""I would like to order a Mexican Omelette served on an English Muffin, as well as another one with Rice and Beans. Thank you!""}"
11,items_ordering_audios/2024_07_08 05_03_41 nsn0bg.wav,"I will have the spicy chicken wings, one order with a generous sprinkle of green peppers and another dougain zesty pecanter sauce. Thank you.","I will have the spicy chicken wings, one order with a generous sprinkle of green peppers and another doused in zesty picante sauce. Thank you!","I will have the spicy chicken wings, one order with a generous sprinkle of green peppers and another doused in zesty picante sauce. Thank you!","{""items"": [{""name"": ""spicy chicken wings"", ""modifier"": """"}, {""name"": ""green peppers"", ""modifier"": ""generous sprinkle""}, {""name"": ""picante sauce"", ""modifier"": ""zesty""}], ""review"": ""I will have the spicy chicken wings, one order with a generous sprinkle of green peppers and another doused in zesty picante sauce. Thank you!""}"
12,items_ordering_audios/2024_07_08 05_07_49 urlrgw.wav,I would appreciate a ribbon sandwich served with crispy fries on the side and also could I get another one of those but paired with a fresh garden salad instead. Thank you.,"I would appreciate a Reuben sandwich served with crispy fries on the side, and also could I get another one of those but paired with a fresh garden salad instead? Thank you.","I would appreciate a Reuben sandwich served with crispy fries on the side, and also could I get another one of those but paired with a fresh garden salad instead? Thank you.","{""items"": [{""name"": ""Reuben sandwich"", ""modifier"": """"}, {""name"": ""crispy fries"", ""modifier"": ""on the side""}, {""name"": ""fresh garden salad"", ""modifier"": ""crispy fries""}], ""review"": ""I would appreciate a Reuben sandwich served with crispy fries on the side, and also could I get another one of those but paired with a fresh garden salad instead? Thank you.""}"
13,items_ordering_audios/2024_07_08 05_53_44 d25glQ.wav,"I would love to start off with the anti-pasteo salad, but could you please dress it lightly with some high quality olive oil?","""I would love to start off with the Antipasto Salad, but could you please dress it lightly with some high-quality olive oil?""","""I would love to start off with the Antipasto Salad, but could you please dress it lightly with some high-quality olive oil?""","{""items"": [{""name"": ""Antipasto Salad"", ""modifier"": ""lightly with some high-quality olive oil""}], ""review"": ""\""I would love to start off with the Antipasto Salad, but could you please dress it lightly with some high-quality olive oil?\""""}"
