,audio_path,ground_truth,transcription,inference_time,Semantic_Analysis
0,2024_07_09 10_31_30 NtuyGQ.wav,"I would like to order a Patty Melt without the bun and a Tuscan Gourmet cooked to a medium level, please.",I would like to order a patty melt without the bun and Tuscan gourmet cooked to a medium level please.,2.019942283630371,0.9946776377875628
1,2024_07_09 21_11_19 3yCioQ.wav,"May I get a small California salad with arugula and some Gilroy garlic tots, please?",May I get a small California salad with a rugula and some Gilroy garlic tots please.,0.435417890548706,0.9470693787137033
2,2024_07_12 03_34_50 Ap-fWA.wav,"""May I order the House Special Beef, and could you please add a side of Snow Peas to it?""","May I order a house special beef, and could you please add a side of snow peas to it?",10.426733255386353,0.997800798910133
3,2024_07_24 12_22_36 fNFdZw.wav,"Can I have a Buffalo Chicken Sandwich with a side of Curly Fries, and also could you please add an order of Onion Rings to that?",Can I have the buffalo chicken sandwich with a side of burdy fries and also could you please add an order of onion drinks to that?,0.5312378406524658,0.925216392865962
4,2024_07_10 09_55_57 x5sltA.wav,"""I would like to order a Hawaiian Pizza with Parmesan Bagel and another one with Jalapeño Bagel, please.""","I would like to order a Hawaiian pizza with charmajal bakers, and another one with alpaca bakers.",0.467653751373291,0.8882976705522941
5,2024_07_11 00_17_17 EuE5pQ.wav,"I would like to order some spicy chicken wings, and could you please add a side of fresh spinach as well? Thank you.",I would like to order some spicy chicken wings and could you please add a side of fresh spinach as well. Thank you.,0.4520456790924072,1.0
6,2024_07_13 20_39_29 1SBf5g.wav,"Could I please have a plate of ham and eggs served with fresh fruit on the side, as well as another one on whole grain wheat bread? Thank you.","Could I please have a plate of ham and eggs served with fresh fruit on the side, as well as another one whole grain wheat bread? Thank you.",0.6060402393341064,0.9981248628940611
7,2024_07_15 16_25_07 Q-7aJQ.wav,"""May I order a personal-sized House Salad?""",May I order personal size house salad?,0.2508082389831543,0.987535794274087
8,2024_07_15 16_15_31 ZsEMDQ.wav,"Can I order a plate of ham and eggs served on an English muffin, as well as another one with the same dish but accompanied by corn tortillas?","Can I order a plate of ham and eggs served on the English muffin, as well as another one with the same dish but accompanied by corn potillas?",30.63130784034729,0.9815842376238726
9,2024_06_28 12_20_04 1yAY7A.wav,"One Pozole with Flour Tortilla, Filete Empanizado with Blue Cheese, and Quesadillas De Harina for me.","One pozole with flour tortilla, filete empanizado with blue cheese, and quesadillas di jarina for me.",0.4831678867340088,0.9886213684245355
10,2024_07_15 16_20_53 zYuDCw.wav,"May I please have a Nashville Hot Tender Box with three Nashville hot chicken tenders, as well as the Bruschetta topped with Tuscan beans and sun-dried tomatoes?","May I please have a Nashville hot tender box with free Nashville hot wings tenders, as well as a brochetta topped with Tuscan beans and sun dried tomatoes.",0.7205460071563721,0.925098752479534
11,2024_07_09 10_05_32 4bVTHg.wav,"I need a bowl of Pozole served with crispy corn tortillas on the side, and for my main course, I would like a Filete Empanizado also accompanied by some freshly made corn tortillas. Thank you!","I need a bowl of puzzoli served with crispy corn tortillas on the side, and for my main course I would like a fillet and panizzaro also accompanied by some freshly made corn tortillas, thank you.",0.8522763252258301,0.9005432379876824
12,2024_07_15 19_51_09 3Foa2Q.wav,"Can I order a house salad, one dressed in Caesar and another with Thousand Island?","Can I order house salad, one dressed in caesar and another with Thousand Island?",0.3572704792022705,0.998208016641673
13,2024_07_11 00_18_13 3wAUVg.wav,"Do you have a Fowl Italian dish served with sweet rolls, and could I also get the Parmigiana Sandwich accompanied by some delicious sausage links? Thank you!",They have a whole Italian dish served with sweet ones and could I also get a Parmigian sandwich accompanied by some delicious sweeteners they have.,0.6593315601348877,0.8234881456357398
14,2024_07_10 12_19_17 FSCp3w.wav,"Can you bring me a plain tri-tip, please? And for the November Special, could I have it with wheat rolls? Thank you!",Can you bring me plain tiltrip please and for the lump special card i have it with willie trolls thank you.,30.54915261268616,0.7126811452698646
15,2024_07_04 06_29_38 Izfx2Q.wav,"Could you add the Side Avocado, and Triple Chocolate?",Then you add the side avocado and triple chocolate.,0.3063650131225586,0.9471939885684696
16,2024_07_09 09_46_01 E-d4lw.wav,"I would like to try the Beyond Chicken Sandwich Combo with a Buffalo twist, and also the Swai Meal prepared Fajita style. Thank you!",I would like to try the blonde chicken sandwich combo with a buffalo twist and also the sweet meal prepared pajita straw. Thank you.,0.5500681400299072,0.9019086876893297
