,audio_path,ground_truth,transcription,inference_time,Semantic_Analysis
0,2024_07_09 10_31_30 NtuyGQ.wav,"I would like to order a Patty Melt without the bun and a Tuscan Gourmet cooked to a medium level, please."," I would like to order a patty melt without the bun and a Tuscan gourmet cook to a medium level, please",0.5587883,0.993734437
1,2024_07_09 21_11_19 3yCioQ.wav,"May I get a small California salad with arugula and some Gilroy garlic tots, please?"," May I get a small California salad with arugula and some Gilroy garlic tots, please?",0.415237665,1
2,2024_07_12 03_34_50 Ap-fWA.wav,"""May I order the House Special Beef, and could you please add a side of Snow Peas to it?""", May I order a house special beef and could you please add a side of snow peas to it?,0.422445297,0.997800799
3,2024_07_24 12_22_36 fNFdZw.wav,"Can I have a Buffalo Chicken Sandwich with a side of Curly Fries, and also could you please add an order of Onion Rings to that?", Can I have the buffalo chicken sandwich with a side of burly fries and also could you please add an order of onion rings to that?,0.540697336,0.980032736
4,2024_07_10 09_55_57 x5sltA.wav,"""I would like to order a Hawaiian Pizza with Parmesan Bagel and another one with Jalapeño Bagel, please.""", I would like to order a Hawaiian pizza with Parmesan and Vegas and another one with jalapeno  bagels please.,0.568550587,0.980285688
5,2024_07_11 00_17_17 EuE5pQ.wav,"I would like to order some spicy chicken wings, and could you please add a side of fresh spinach as well? Thank you.", I would like to order some spicy chicken wings and could you please add a side of fresh spinach as well? Thank you.,0.491776228,1
6,2024_07_13 20_39_29 1SBf5g.wav,"Could I please have a plate of ham and eggs served with fresh fruit on the side, as well as another one on whole grain wheat bread? Thank you."," Could I please have a plate of ham and eggs served with fresh fruit on the side, as well as another one whole grain wheat bread. Thank you.",0.563575029,0.998124863
7,2024_07_15 16_25_07 Q-7aJQ.wav,"""May I order a personal-sized House Salad?""", May I order a personal sized house salad?,0.345551968,0.992011694
8,2024_07_15 16_15_31 ZsEMDQ.wav,"Can I order a plate of ham and eggs served on an English muffin, as well as another one with the same dish but accompanied by corn tortillas?"," Can I order a plate of ham and eggs served on the English muffin, as well as another one with the same dish, but accompanied by corn tortillas?",0.575383425,0.998131967
9,2024_06_28 12_20_04 1yAY7A.wav,"One Pozole with Flour Tortilla, Filete Empanizado with Blue Cheese, and Quesadillas De Harina for me."," One pozole with flour tortilla, fillet de empanizato with blue cheese, and quesadillas de harina for me.",0.496235132,0.98862392
10,2024_07_15 16_20_53 zYuDCw.wav,"May I please have a Nashville Hot Tender Box with three Nashville hot chicken tenders, as well as the Bruschetta topped with Tuscan beans and sun-dried tomatoes?"," May I please have a Nashville hot tender box with free Nashville hot wings tenders, as well as a bruschetta topped with Tuscan beans and sun-dried tomatoes.",0.564535141,0.944817491
11,2024_07_09 10_05_32 4bVTHg.wav,"I need a bowl of Pozole served with crispy corn tortillas on the side, and for my main course, I would like a Filete Empanizado also accompanied by some freshly made corn tortillas. Thank you!", I need a bowl of pozole syrup with crispy corn tortillas on the side and for my main  course I would like a fillet and paneer zara also accompanied by some freshly made corn  tortillas.  Thank you.,0.741564989,0.919417992
12,2024_07_15 19_51_09 3Foa2Q.wav,"Can I order a house salad, one dressed in Caesar and another with Thousand Island?"," Can I order a house salad, one dressed in Caesar and another with Thousand Island?",0.37488699,1
13,2024_07_11 00_18_13 3wAUVg.wav,"Do you have a Fowl Italian dish served with sweet rolls, and could I also get the Parmigiana Sandwich accompanied by some delicious sausage links? Thank you!", Do you have a whole Italian dish served with sweet rolls and could I also get the parmigian  sandwich accompanied by some delicious dumplings?  Thank you.,0.593957901,0.903128506
14,2024_07_10 12_19_17 FSCp3w.wav,"Can you bring me a plain tri-tip, please? And for the November Special, could I have it with wheat rolls? Thank you!"," Can you bring me a plain chartre, please?  And without a lump of special hair, there you have it with Willy Trolls.  Thank you.",0.587568998,0.719623669
15,2024_07_04 06_29_38 Izfx2Q.wav,"Could you add the Side Avocado, and Triple Chocolate?", Then you add the side avocado and triple chocolate.,0.317280293,0.947193989
16,2024_07_09 09_46_01 E-d4lw.wav,"I would like to try the Beyond Chicken Sandwich Combo with a Buffalo twist, and also the Swai Meal prepared Fajita style. Thank you!", I would like to try the Beyond Chicken sandwich combo with a buffalo twist and also the sweet  milk prepared fajita style.  Thank you.,0.593151569,0.965153755
17,2024_07_12 03_36_48 P_F2dg.wav,"I will have the ham and eggs on rye toast, please, along with a side of hash browns. And for my second order, could I also get another serving of ham and eggs but prepared over medium? Thank you!"," I will have the ham and eggs on rye toast, please, along with a side of hash browns.  And for my second order, could I also get another serving of ham and eggs, prepared over medium? Thank you.",0.69167304,0.999195205
18,2024_07_09 09_24_15 Ud57cA.wav,Could you please serve me a turkey sandwich with cottage cheese on it?, Could you please serve me a turkey sandwich with cottage cheese on it?,0.383061171,0.999999985
19,2024_07_09 19_01_30 jpD6Vw.wav,"May I get a Patty Melt on a bagel and also, could you please prepare another one with a wheat bun? Thank you.", May I get a patty melt on a bagel and also could you please prepare another one with a wheat bun? Thank you.,0.525056839,1
20,2024_07_09 10_23_13 mPlfgQ.wav,"Could I please have a hot dog topped with Shirley Temple sauce, and on the side, could you also bring me some chocolate milk? Thank you!"," Could I please have a hot dog topped with Shirley Temple sauce, and on the side could you also bring me some chocolate milk? Thank you.",0.534177303,1
21,2024_06_28 11_23_03 hEN1IQ.wav,"Could I get a Canadian Bacon, and Super Nachos with veggies?", Could I get a Canadian Bacon and Super Nachos with veggies?,0.355577946,1
22,2024_07_11 00_06_13 QTEDDg.wav,May I please have a B.L.T. sandwich with the addition of white cheddar mac and cheese on the side? Thank you!, May I please have a BLT sandwich with the addition of white cheddar mac and  cheese on the side. Thank you.,0.463975668,1
23,2024_06_28 11_42_49 JayBxQ.wav,"I'll have a Sizzinling Beef With Black Pepper Sauce, Hunan Chicken (Spicy), and Pork Chop Sui."," I'll have a sizzling beef with black pepper sauce,  honan chicken, spicy, and pork chop sweet.",0.483441114,0.936869298
24,2024_07_15 16_13_15 8BixZQ.wav,"""I will have a classic Patty Melt, and could you please add some crispy potato chips on the side?""", I will have a classic patty melt and could you please add some crispy potato chips on the side.,0.413521528,0.99999999
25,2024_07_15 16_21_50 bUHFBA.wav,"I would love to start my meal with a delicious turkey sandwich, one without any sprouts and another on an egg bagel. Could you please prepare those for me?", I would love to start my meal with a delicious turkey sandwich one without  any sprouts and another one on egg bagel could you please prepare those for me,0.564204454,0.99940771
