,audio_path,ground_truth,transcription,inference_time,Semantic_Analysis
0,2024_07_09 10_31_30 NtuyGQ.wav,"I would like to order a Patty Melt without the bun and a Tuscan Gourmet cooked to a medium level, please.",i would like to order a patty melt without the bun and tuscan gouret cook to a medium level please,0.6415870189666748,0.9687307656697761
1,2024_07_09 21_11_19 3yCioQ.wav,"May I get a small California salad with arugula and some Gilroy garlic tots, please?",may i get a small california salad with arugula and some gilroy garlic tos please,0.0406467914581298,0.9886362893434532
2,2024_07_12 03_34_50 Ap-fWA.wav,"""May I order the House Special Beef, and could you please add a side of Snow Peas to it?""",may i order a house special beef and could you please add a side of snow peas to it,0.040518045425415,0.997800798910133
3,2024_07_24 12_22_36 fNFdZw.wav,"Can I have a Buffalo Chicken Sandwich with a side of Curly Fries, and also could you please add an order of Onion Rings to that?",can i have the buffalo chicken sandwich with a side of curirly fries and also could you freeze add an order of onion drinks to that,0.0370113849639892,0.9031864769494108
4,2024_07_10 09_55_57 x5sltA.wav,"""I would like to order a Hawaiian Pizza with Parmesan Bagel and another one with Jalapeño Bagel, please.""",i would like to order a hawaiian pizza with tomes and bast and another one with jalipino b,0.03574800491333,0.911757555961967
5,2024_07_11 00_17_17 EuE5pQ.wav,"I would like to order some spicy chicken wings, and could you please add a side of fresh spinach as well? Thank you.",i would like to order some spicy chicken wings and could you please add a side of fresh spinach as well thank you,0.0526304244995117,1.0
6,2024_07_13 20_39_29 1SBf5g.wav,"Could I please have a plate of ham and eggs served with fresh fruit on the side, as well as another one on whole grain wheat bread? Thank you.",could i please have a plate of ham and eggs served with fresh fruit on the side as well as another one whole grain wheat bread thank you,0.051985740661621,0.9981248628940611
7,2024_07_15 16_25_07 Q-7aJQ.wav,"""May I order a personal-sized House Salad?""",may i order a personal sized house salad,0.0354957580566406,0.9920116941958969
8,2024_07_15 16_15_31 ZsEMDQ.wav,"Can I order a plate of ham and eggs served on an English muffin, as well as another one with the same dish but accompanied by corn tortillas?",can i hold a plate of ham and egg served on the english muffin as well as another one with the same dish but accompanied by corn potillas,0.0450975894927978,0.9305575529467752
9,2024_06_28 12_20_04 1yAY7A.wav,"One Pozole with Flour Tortilla, Filete Empanizado with Blue Cheese, and Quesadillas De Harina for me.",it' one pozzole with flour tortilla fileette empanisato with blue cheese and quesadilla's deijarina for me,0.0389211177825927,0.9075830423275113
10,2024_07_15 16_20_53 zYuDCw.wav,"May I please have a Nashville Hot Tender Box with three Nashville hot chicken tenders, as well as the Bruschetta topped with Tuscan beans and sun-dried tomatoes?",may i please have a nashville hot tender boox with free nashville hot wings tenders as well as a bruschetta topped with tuscan beans and sun dried tomatoes,0.0546271800994873,0.9017894839142288
11,2024_07_09 10_05_32 4bVTHg.wav,"I need a bowl of Pozole served with crispy corn tortillas on the side, and for my main course, I would like a Filete Empanizado also accompanied by some freshly made corn tortillas. Thank you!",i need a bowl of baszoli served with crispy corn tortillas on the side and for my main course i would likey a fillet andpanesaro also accompanied by some freshly made corn tortillas thank you,0.0496025085449218,0.8960423621638129
12,2024_07_15 19_51_09 3Foa2Q.wav,"Can I order a house salad, one dressed in Caesar and another with Thousand Island?",can i order a house salad one dressed in cesar and another with thousand island,0.0370275974273681,0.964075446838151
13,2024_07_11 00_18_13 3wAUVg.wav,"Do you have a Fowl Italian dish served with sweet rolls, and could I also get the Parmigiana Sandwich accompanied by some delicious sausage links? Thank you!",they have a full italian dish served with sweetnesss you could also get a parmichan sandwich accompanied but some delicious sings they,0.0526297092437744,0.8033179177956843
14,2024_07_10 12_19_17 FSCp3w.wav,"Can you bring me a plain tri-tip, please? And for the November Special, could I have it with wheat rolls? Thank you!",can you bring me plain try please and for don one special cacter you have it with w roll thank you,0.0404505729675293,0.8107905229621344
15,2024_07_04 06_29_38 Izfx2Q.wav,"Could you add the Side Avocado, and Triple Chocolate?",then you add the sideed avocado and triple chocolate,0.0508379936218261,0.9345022998556499
