audio_path,Distilled_Whisper_Large_V3,Whisper_Medusa,Parakeet_ctc_1b,Parakeet_ctc_0.6b,parakeet_rnnt,Ground Truth
2024_07_07 17_28_07 i-NOcQ.wav,"I would like to try three sopes corn arwoes, re jollies, please. Could you add the pastor as a modifier for me? Thank you.","I would like to try three sopes corn aros Vri-Free Jolis, please. Could you add the pastor as a modifier for me? Thank you.",I would like to try three sopes go and aros raviolis please could you add the pesto as a modifier for me thank you,I would like to try three soaps con aros why Irolean three free jollies please. Could you add the pastoral as a modifier for me? Thank you.,I would like to try three sopes call Arroydoriolis please. Could you add the Pastor as a modifier for me? Thank you.,"I would like to try three Sopes Con Arroz Y Frijoles, please. Could you add the Pastor as a modifier for me? Thank you!"
2024_07_07 17_28_36 0gOJIA.wav,I will take a turkey sandwich on a toasted bagel and some crispy potato chips please.,I will take a turkey sandwich on a toasted bagel and some crispy potato chips please.,I will take a turkey sandwich on a toasted bagel and some crispy potato chips please.,I will take a turkey sandwich on a toasted bagel and some crispy potato chips please.,I will take a turkey sandwich on a toasted bagel and some crispy potato chips please.,"I will take a turkey sandwich on a toasted bagel and some crispy potato chips, please."
2024_07_08 05_53_44 d25glQ.wav,"I would love to start off with the anti-pasteo salad, but could you please dress it lightly with some high quality olive oil?","I would love to start off with the anti-pesto salad, but could you please dress it lightly with some high quality olive oil?"," I would love to start off with the antipasto salad, but could you please dress it lightly with some high quality olive oil?"," I would love to start off with the anti-pesto salad, but could you please dress it lightly with some high quality olive oil?","I would love to start off with the anti-pasteur salad, but could you please dress it lightly with some high quality olive oil?","""I would love to start off with the Antipasto Salad, but could you please dress it lightly with some high-quality olive oil?"""
2024_07_08 05_54_44 POf5EQ.wav,"Could I get a Coca-Cola zero in a 12-ounce can and a chef sat with Caesar dressing, please?",Could I get a Coca-Cola Zorro in a 12 ounce can and a chef's salad with Caesar dressing please?,Could I get a Coca-Cola's Gola Ziro in a 12 ounce scan and a chef's salad with Caesar dressing please?,Could I get a Coca-Cola Zero in a 12 ounce can and a chef's salad with Caesar dressing please?,Could I get a Coca-Cola Ciro in a 12 ounce of course. I got a Coca-Cola Ciro in a 12 ounce can and a chef salad with Caesar dressing please.,"Could I get a Coca-Cola Zero in a 12 oz can and a Chef's Salad with Caesar Dressing, please?"
2024_07_08 06_22_51 4-GR1w.wav,I would like to order a buffalo chicken sandwich served over a fresh salad and also could I get a small portion of garlic bread with cheese on the side.,I would like to order a buffalo chicken sandwich served over a fresh salad and also could I get a small portion of garlic bread with cheese on the side.,I would like to order a buffalo chicken sandwich served over a fresh salad and also could I get a small portion of garlic bread with cheese on the side?,I would like to order a buffalo chicken sandwich served over a fresh salad and also could I get a small portion of garlic bread with cheese on the side.,I would like to order a buffalo chicken sandwich served over a fresh salad and also could I get a small portion of garlic bread with cheese on the side.,"I would like to order a buffalo chicken sandwich served over a fresh salad, and also could I get a small portion of garlic bread with cheese on the side?"
2024_07_08 06_39_14 BtEdiQ.wav,Can I have a hamburger with mayonnaise on it?,Can I have a hamburger with mayonnaise on it?,Can I have a hamburger with mayonnaise on it?,Can I have a hamburger with mayonnaise on it?,Can I have a hamburger with mayonnaise on it?,Can I have a hamburger with mayonnaise on it?
2024_07_09 08_43_05 5FS02w.wav,Could I have a plate of Bucatini Carbonara please? No additional modifiers needed for me today. Thank you.,Could I have a plate of Bucatini Carbonara please? No additional modifiers needed for me today. Thank you.,"Could I have a plate of Bucatini Carbonara, please. No additional modifiers needed for me today. Thank you.","Could I have a plate of Bucatini Calvona? Please, no additional modifiers needed for me today. Thank you.",Could I have a plate of Bucatini Carbonara please? No additional modifiers needed for me today. Thank you.,"Could I have a plate of Bucatini Carbonara, please? No additional modifiers needed for me today. Thank you!"
2024_07_09 09_24_47 rQPcmw.wav,Please give me chicken calzone served with a siph fresh crisp cream salad on the side. Thank you.,Please give me chicken calzone served with a sife fresh crisp green salad on the side. Thank you.,Please give me a chicken calizone served with a side fresh crispy salad on the side thank you,Please give me chicken calizone served with a side fresh crisp cream salad on the side thank you,Please give me chicken calzone serve with a side fresh crispy salad on the side. Thank you.,"Please give me a chicken calzone served with a side of fresh, crisp green salad on the side. Thank you!"
2024_07_09 09_28_51 Z5wUqw.wav,I need a toaster with green chili pork and mixed grill served with fries chili limestone.,I need a toasterda with green chili pork and mixed grilled served with fries chili lime style.," I need a tostada with green chili pork and mixed milk served with fries, chili limestone.",I need a to start a green chili bowl and mixed grilled fries chili lime style.,"I need a Tostada with green chili pole and mixed grilled serve with fries, chili limestone.","I need a Tostada with Green Chile Pork and a Mixed Grill served with Fries, Chili-Lime style."
2024_07_09 09_40_46 Gt-v1w.wav,Could you please serve me a Jimmy Changa with rank dressing on one side and another Jimmy Changa top with steak? Thank you.,Could you please serve me a Chimichanga with rank dressing on one side and another Chimichanga top with steak? Thank you.,Could you please serve me a Chimichunga with ranch dressing on one side and another Chimichunga talk with steak? Thank you.,Could you please serve me a chimichanga with rang dressing on one side and another chimichanga talk with steak. Thank you.,Could you please serve me a chimichanga with ranch dressing on one side and another chimichanga top with steak? Thank you.,Could you please serve me a chimichanga with ranch dressing on one side and another chimichanga topped with steak? Thank you.
