,audio_path,transcript,sentence,items_json
0,2024_08_01 13_29_55 iSDAig.wav,may i order a chef's salad with sesame dressing and an antipasto salad served with classic ranch please,"""May I order a Chef's Salad with Sesame dressing and an Antipasto Salad served with Classic Ranch, please?""","{""items"": [{""name"": ""Chef's Salad"", ""modifier"": ""Sesame dressing""}, {""name"": ""Antipasto Salad"", ""modifier"": ""Classic Ranch""}], ""review"": ""\""May I order a Chef's Salad with Sesame dressing and an Antipasto Salad served with Classic Ranch, please?\""""}"
1,2024_08_02 05_24_55 GfBXgw.wav,i will take a bl te sandwich and iced tea along with a boneless sixty rings platter for my meal today,"I will take a BLT sandwich and an Iced Tea, along with the Boneless 60 Wing Platter for my meal today.","{""items"": [{""name"": ""BLT sandwich"", ""modifier"": """"}, {""name"": ""Iced Tea"", ""modifier"": """"}, {""name"": ""Boneless 60 Wing Platter"", ""modifier"": """"}], ""review"": ""I will take a BLT sandwich and an Iced Tea, along with the Boneless 60 Wing Platter for my meal today.""}"
2,2024_08_02 05_25_26 kWLZjA.wav,i would love to start off my meal with a delightful serving of bruschetta featuring the unique combination of red beets and creamy goat cheese thank you,"I would love to start off my meal with a delightful serving of bruschetta, featuring the unique combination of red beets and creamy goat cheese. Thank you!","{""items"": [{""name"": ""bruschetta"", ""modifier"": ""red beets and creamy goat cheese""}], ""review"": ""I would love to start off my meal with a delightful serving of bruschetta, featuring the unique combination of red beets and creamy goat cheese. Thank you!""}"
3,2024_08_02 05_29_45 jTyS2Q.wav,i will take eight cream cheese wontons and house special noodles please could you tell me if there's any additional sauces or sides that come with them thank you,"I will take 8 Cream Cheese Wontons and the House Special Noodles, please. Could you tell me if there are any additional sauces or sides that come with them? Thank you!","{""items"": [{""name"": ""Cream Cheese Wontons"", ""modifier"": ""8""}, {""name"": ""House Special Noodles"", ""modifier"": """"}], ""review"": ""I will take 8 Cream Cheese Wontons and the House Special Noodles, please. Could you tell me if there are any additional sauces or sides that come with them? Thank you!""}"
4,2024_08_02 05_51_24 Y_1FBA.wav,i would like to order a delicious hamburger served with an oatmeal bury on the side and also another one accompanied by a refreshing yogurt parfait thank you,"I would like to order a delicious hamburger served with an oatmeal brulee on the side, and also another one accompanied by a refreshing yogurt parfait. Thank you!","{""items"": [{""name"": ""hamburger"", ""modifier"": """"}, {""name"": ""oatmeal brulee"", ""modifier"": """"}, {""name"": ""yogurt parfait"", ""modifier"": ""refreshing""}], ""review"": ""I would like to order a delicious hamburger served with an oatmeal brulee on the side, and also another one accompanied by a refreshing yogurt parfait. Thank you!""}"
5,2024_08_02 05_51_41 xqxXJQ.wav,can you bring me a standard four ounce soai meal please,"Can you bring me a standard 4 oz Swai Meal, please?","{""items"": [{""name"": ""Swai Meal"", ""modifier"": ""standard 4 oz""}], ""review"": ""Can you bring me a standard 4 oz Swai Meal, please?""}"
6,2024_08_02 05_52_35 1zyOpA.wav,i need a hamburger with yellow mustard and a hot dog that's not split open please,"I need a hamburger with yellow mustard and a hot dog that's not split open, please.","{""items"": [{""name"": ""hamburger"", ""modifier"": ""yellow mustard""}, {""name"": ""hot dog"", ""modifier"": ""not split open""}], ""review"": ""I need a hamburger with yellow mustard and a hot dog that's not split open, please.""}"
7,2024_08_02 05_52_52 pOBKIg.wav,i would like to try a medium sized chicken cesar salad with a classic cesar dressing please,"I would like to try a medium-sized Chicken Caesar Salad with the classic Caesar dressing, please.","{""items"": [{""name"": ""Chicken Caesar Salad"", ""modifier"": ""medium-sized""}, {""name"": ""classic Caesar dressing"", ""modifier"": """"}], ""review"": ""I would like to try a medium-sized Chicken Caesar Salad with the classic Caesar dressing, please.""}"
8,2024_08_02 05_53_32 pr2SWA.wav,i need a classic breakfast served with country styled hasashed potatoes on the side please,"I need a classic breakfast served with country-style hashed potatoes on the side, please.","{""items"": [{""name"": ""classic breakfast"", ""modifier"": """"}, {""name"": ""country-style hashed potatoes"", ""modifier"": """"}], ""review"": ""I need a classic breakfast served with country-style hashed potatoes on the side, please.""}"
9,2024_08_02 05_54_33 5u6wnw.wav,do you have a fantourange soda i would like to order two liters of it please thank you,"Do you have a Fanta Orange Soda? I would like to order two liters of it, please. Thank you!","{""items"": [{""name"": ""Fanta Orange Soda"", ""modifier"": ""two liters""}], ""review"": ""Do you have a Fanta Orange Soda? I would like to order two liters of it, please. Thank you!""}"
