audio_path,ground_truth,transcription,inference_time
2024_07_07 17_28_07 i-NOcQ.wav,"I would like to try three Sopes Con Arroz Y Frijoles, please. Could you add the Pastor as a modifier for me? Thank you!","I would like to try three sopes on a roll of rejoles, please. Could you add the pastor as a modifier for me? Thank you!",0.45755791664123535
2024_07_07 17_28_36 0gOJIA.wav,"I will take a turkey sandwich on a toasted bagel and some crispy potato chips, please.","I will take a turkey sandwich on a toasted bagel and some crispy potato chips, please.",0.3461930751800537
2024_07_08 04_22_24 0TRVzw.wav,"I would like to order a Mexican Omelette served on an English Muffin, as well as another one with Rice and Beans. Thank you!","I would like to order a Mexican Omelette served on an English Muffin, as well as another one with Rice and Beans. Thank you!",0.42576074600219727
2024_07_08 05_53_44 d25glQ.wav,"""I would love to start off with the Antipasto Salad, but could you please dress it lightly with some high-quality olive oil?""","I would love to start off with the Antipasto Salad, but could you please dress it lightly with some high-quality olive oil?",0.5393106937408447
2024_07_08 05_54_44 POf5EQ.wav,"Could I get a Coca-Cola Zero in a 12 oz can and a Chef's Salad with Caesar Dressing, please?","Could I get a Coca-Cola Zero in a 12 oz can, and a Chef's Salad with Caesar Dressing, please?",0.6815123558044434
2024_07_08 06_22_51 4-GR1w.wav,"I would like to order a buffalo chicken sandwich served over a fresh salad, and also could I get a small portion of garlic bread with cheese on the side?","I would like to order the Buffalo Chicken Sandwich served over a fresh salad, and also could I get a small portion of garlic bread with cheese on the side?",0.6936726570129395
2024_07_08 06_39_14 BtEdiQ.wav,Can I have a hamburger with mayonnaise on it?,Can I have a hamburger with mayonnaise on it?,0.38475751876831055
2024_07_09 08_43_05 5FS02w.wav,"Could I have a plate of Bucatini Carbonara, please? No additional modifiers needed for me today. Thank you!","Could I have a plate of Bucatini Carbonara, please? No additional modifiers needed for me today. Thank you!",0.3776721954345703
2024_07_09 09_24_15 Ud57cA.wav,Could you please serve me a turkey sandwich with cottage cheese on it?,Could you please serve me a turkey sandwich with cottage cheese on the side?,0.5219156742095947
2024_07_09 09_24_47 rQPcmw.wav,"Please give me a chicken calzone served with a side of fresh, crisp green salad on the side. Thank you!",Please give me chicken calzone served with a side of crispy salad on the side. Thank you!,0.4044375419616699
2024_07_09 09_25_21 uiWrmg.wav,Could you please serve me a chimichanga accompanied by a side of soup? Thank you!,Could you please serve me a chimichanga accompanied by a side of soup? Thank you!,0.31345367431640625
